Longitude,Latitude,datetime,UHI Index,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,LST,is_building,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
-73.90916667,40.81310667,2021-07-24 15:53:00,1.030288903,846.0,1042.0,1036.0,1036.0,1272.0,1502.0,1605.0,1906.0,1638.0,1487.0,1265.0,38.393941100000006,0,26.980586109907843,47.15146527476963,3.2194138900921496,147.24175032488043,652.8553191255803
-73.90918667,40.813045,2021-07-24 15:53:00,1.030288903,846.0,1042.0,1036.0,1036.0,1272.0,1502.0,1605.0,1906.0,1638.0,1487.0,1265.0,38.393941100000006,0,26.980586109907833,47.15146527476958,3.2194138900921705,147.24175032488603,652.8553191255749
-73.909215,40.81297833,2021-07-24 15:53:00,1.023797758,846.0,583.0,818.0,709.0,1054.0,1668.0,2097.0,2190.0,2149.0,1465.0,991.0,37.78553354000002,0,26.999999999999996,47.20000000000001,3.2000000000000006,142.00000000000003,658.0
-73.90924167,40.81290833,2021-07-24 15:53:00,1.023797758,846.0,581.0,733.0,657.0,1054.0,1668.0,2097.0,2182.0,2149.0,1465.0,991.0,37.78553354000002,0,27.0,47.2,3.1999999999999997,141.99999999999997,658.0
-73.90925667,40.812845,2021-07-24 15:53:00,1.021634043,846.0,655.0,744.0,745.0,1021.0,1728.0,1943.0,2112.0,2056.0,1544.0,1134.0,37.35828104000001,0,27.000000000000004,47.20000000000002,3.2,142.00000000000003,658.0000000000001
-73.90928,40.81277667,2021-07-24 15:53:00,1.021634043,846.0,655.0,744.0,745.0,1021.0,1728.0,1943.0,2112.0,2056.0,1544.0,1134.0,37.35828104000001,0,27.000000000000004,47.2,3.2,142.0,658.0
-73.90931167,40.81271,2021-07-24 15:53:00,1.015142899,846.0,677.0,783.0,767.0,1021.0,1728.0,1943.0,2354.0,2056.0,1544.0,1134.0,37.35828104000001,0,27.0,47.2,3.2,142.0,657.9999999999999
-73.90934,40.81264333,2021-07-24 15:53:00,1.015142899,1152.0,706.0,825.0,851.0,1298.0,1769.0,2216.0,2216.0,2152.0,1823.0,1366.0,37.35828104000001,0,26.964352443584396,47.110881108960996,3.2356475564155964,151.6248402322113,648.5533975498664
-73.90936333,40.81256167,2021-07-24 15:53:00,1.012979184,1152.0,703.0,852.0,835.0,1298.0,1769.0,2216.0,2072.0,2152.0,1823.0,1366.0,37.09167548000005,0,26.96339893181538,47.108497329538444,3.236601068184624,151.88228840984848,648.3007169310746
-73.90938333,40.812485,2021-07-24 15:53:00,1.012979184,1152.0,714.0,874.0,766.0,1316.0,1460.0,1844.0,2114.0,1658.0,1870.0,1377.0,37.09167548000005,0,26.981322351531833,47.153305878829585,3.218677648468167,147.04296508640493,653.0504231559358
-73.90939333,40.81240333,2021-07-24 15:53:00,1.010815469,1152.0,714.0,874.0,766.0,1316.0,1460.0,1844.0,2114.0,1658.0,1870.0,1377.0,37.09167548000005,0,26.981322351531823,47.15330587882957,3.2186776484681783,147.04296508640797,653.0504231559329
-73.90942,40.81233,2021-07-24 15:53:00,1.010815469,1152.0,738.0,792.0,759.0,1316.0,1460.0,1844.0,1658.0,1658.0,1870.0,1377.0,37.09167548000005,0,26.959125824823246,47.09781456205812,3.240874175176751,153.03602729772294,647.1683435781608
-73.90945333,40.81223667,2021-07-24 15:53:00,1.010815469,1152.0,665.0,717.0,743.0,2026.0,1720.0,2221.0,1360.0,1849.0,2508.0,2008.0,37.06433132000001,0,27.060909812424672,47.15352280637364,3.4279757770541837,172.03310592688902,601.8153981615072
-73.90947667,40.81216333,2021-07-24 15:53:00,1.010815469,1152.0,966.0,1134.0,1160.0,1155.0,1327.0,1541.0,1874.0,1713.0,1805.0,1387.0,36.70202119999999,0,26.94004921955923,47.05012304889808,3.2599507804407724,158.18671071900835,642.1130431831956
-73.90949333,40.81209333,2021-07-24 15:53:00,1.010815469,1326.0,1176.0,1512.0,1570.0,1976.0,2028.0,2141.0,2020.0,2191.0,2486.0,1769.0,36.70202119999999,0,27.000328411352594,47.10322355244039,3.789281873926036,172.28161902885577,597.2227704397377
-73.90952167,40.81203167,2021-07-24 15:53:00,1.010815469,1326.0,1124.0,1598.0,1618.0,1976.0,2028.0,2141.0,1936.0,2191.0,2486.0,1769.0,37.09509350000002,0,26.9963165949415,47.11056371355732,3.9524759604919706,172.41136975782325,592.0394008843791
-73.90953,40.81198167,2021-07-24 15:53:00,1.010815469,1326.0,1124.0,1598.0,1618.0,1976.0,2028.0,2141.0,1936.0,2191.0,2486.0,1769.0,37.09509350000002,0,26.996316594941305,47.110563713556935,3.9524759604910997,172.41136975783496,592.0394008844195
-73.90954833,40.81194,2021-07-24 15:54:00,1.010815469,1326.0,974.0,1318.0,1260.0,1934.0,1785.0,2122.0,1716.0,2071.0,2295.0,1763.0,37.09509350000002,0,27.06155330173627,47.17755346463049,3.8427598661564484,174.16718806162754,584.7816677400594
-73.90956333,40.8119,2021-07-24 15:54:00,1.010815469,1326.0,2116.0,2266.0,2334.0,1934.0,1785.0,2122.0,2770.0,2071.0,2295.0,1763.0,37.09509350000002,0,26.894906611880764,46.979200678074946,3.648671516547884,189.06591242152783,582.3770513306256
-73.90958167,40.81186333,2021-07-24 15:54:00,1.010815469,1326.0,2116.0,2266.0,2334.0,1934.0,1785.0,2122.0,2770.0,2071.0,2295.0,1763.0,37.09509350000002,0,26.894906611880693,46.97920067807478,3.6486715165476435,189.0659124215336,582.3770513306364
-73.9096,40.81181167,2021-07-24 15:54:00,1.012979184,1326.0,1394.0,1478.0,1646.0,1934.0,1785.0,2122.0,1850.0,2071.0,2295.0,1763.0,37.09509350000002,0,26.970568230466743,47.050693577570605,3.9362170897648316,177.71314392593462,588.8617122107319
-73.909615,40.81175333,2021-07-24 15:54:00,1.012979184,1326.0,1002.0,1300.0,1354.0,1550.0,1628.0,1846.0,1562.0,1716.0,1972.0,1560.0,37.44373154000005,0,26.947432046168466,47.003336186644965,3.8615112890759646,180.11612141911772,591.2219099259296
-73.90963167,40.8117,2021-07-24 15:54:00,1.012979184,1326.0,1002.0,1300.0,1354.0,1550.0,1628.0,1846.0,1562.0,1716.0,1972.0,1560.0,37.44373154000005,0,26.94743204616813,47.0033361866443,3.861511289074721,180.11612141914537,591.2219099259785
-73.90964667,40.81164333,2021-07-24 15:54:00,1.012979184,959.0,1988.0,2078.0,2256.0,1884.0,2288.0,1997.0,2610.0,2193.0,2336.0,2121.0,37.44373154000005,0,26.910611588829234,47.205272274251364,3.4092032717828515,186.77314515839683,568.82912119841
-73.90966167,40.81157833,2021-07-24 15:54:00,1.012979184,732.0,1792.0,2452.0,2380.0,1849.0,2343.0,2546.0,2678.0,2890.0,2156.0,2110.0,37.44373154000005,0,26.817975508835787,47.071316599059514,3.0193824611974973,195.86095900390364,575.6751590246135
-73.909675,40.81151,2021-07-24 15:54:00,1.012979184,732.0,1792.0,2452.0,2380.0,1849.0,2343.0,2546.0,2678.0,2890.0,2156.0,2110.0,37.44373154000005,0,26.81797550883579,47.07131659905941,3.0193824611976288,195.86095900390262,575.6751590246253
-73.90969333,40.81144167,2021-07-24 15:54:00,1.012979184,732.0,994.0,1274.0,1320.0,1849.0,2343.0,2546.0,2556.0,2890.0,2156.0,2110.0,37.49500183999999,0,26.8738108714451,46.88452717861276,3.3261891285549,176.071064709823,624.5598809329516
-73.909705,40.81137667,2021-07-24 15:54:00,1.012979184,732.0,634.0,821.0,717.0,1098.0,2045.0,2473.0,2630.0,2527.0,1557.0,1055.0,37.49500183999999,0,26.942398029609492,47.520925263604255,3.142398029609495,143.5634820534566,614.3870795614741
-73.90971333,40.81132,2021-07-24 15:54:00,1.012979184,732.0,634.0,821.0,717.0,1098.0,2045.0,2473.0,2630.0,2527.0,1557.0,1055.0,37.49500183999999,0,26.94239802960953,47.52092526360401,3.1423980296095357,143.56348205345543,614.3870795615061
-73.909745,40.81123,2021-07-24 15:54:00,1.012979184,732.0,694.0,876.0,800.0,1098.0,2045.0,2473.0,2214.0,2527.0,1557.0,1055.0,37.3343549,0,27.0,47.2,3.200000000000001,142.00000000000003,658.0000000000001
-73.909755,40.81120333,2021-07-24 15:54:00,1.012979184,732.0,809.0,925.0,977.0,1124.0,1644.0,1852.0,1656.0,1890.0,1641.0,1185.0,37.3343549,0,27.0,47.19999999999999,3.2,141.99999999999997,657.9999999999999
-73.90977,40.81116167,2021-07-24 15:54:00,1.015142899,732.0,809.0,925.0,977.0,1124.0,1644.0,1852.0,1656.0,1890.0,1641.0,1185.0,37.3343549,0,26.999999999999996,47.2,3.1999999999999993,142.0,658.0
-73.90978667,40.81111833,2021-07-24 15:54:00,1.015263105,732.0,669.0,891.0,836.0,1124.0,1644.0,1852.0,1570.0,1890.0,1641.0,1185.0,37.3343549,0,26.999999999999996,47.20000000000001,3.200000000000001,142.0,658.0000000000001
-73.90980833,40.81106,2021-07-24 15:54:00,1.015263105,732.0,669.0,891.0,836.0,1124.0,1644.0,1852.0,1570.0,1890.0,1641.0,1185.0,37.3343549,0,26.999999999999996,47.2,3.1999999999999997,141.99999999999997,657.9999999999998
-73.909875,40.810865,2021-07-24 15:54:00,1.019590535,849.0,783.0,975.0,840.0,1315.0,1513.0,1775.0,1796.0,1812.0,1905.0,1334.0,37.327518860000055,0,27.0,47.20000000000001,3.2000000000000006,142.0,658.0000000000001
-73.9099,40.81081,2021-07-24 15:54:00,1.019590535,849.0,783.0,975.0,840.0,1315.0,1513.0,1775.0,1796.0,1812.0,1905.0,1334.0,37.327518860000055,0,27.000000000000004,47.20000000000001,3.2000000000000006,142.00000000000003,658.0000000000001
-73.90992833,40.81075333,2021-07-24 15:54:00,1.02175425,849.0,1410.0,1510.0,1638.0,1852.0,2083.0,2108.0,1938.0,2308.0,2270.0,1582.0,37.327518860000055,0,26.87184109063857,46.87960272659641,3.3281589093614365,176.6029055275879,624.0378890192192
-73.909965,40.810705,2021-07-24 15:54:00,1.02175425,849.0,1410.0,1510.0,1638.0,1852.0,2083.0,2108.0,1938.0,2308.0,2270.0,1582.0,37.327518860000055,0,26.871841090638686,46.879602726596715,3.3281589093613158,176.60290552755532,624.0378890192512
-73.90995167,40.81062833,2021-07-24 15:54:00,1.023917965,849.0,1068.0,1368.0,1322.0,1363.0,1852.0,2182.0,1822.0,2053.0,1884.0,1436.0,37.28650262000002,0,26.95956649012216,47.09891622530541,3.2404335098778434,152.91704766701773,647.2851198823716
-73.90991333,40.8106,2021-07-24 15:54:00,1.02175425,849.0,908.0,1076.0,1200.0,1363.0,1852.0,2182.0,2256.0,2053.0,1884.0,1436.0,37.28650262000002,0,26.965568746335936,47.11392186583985,3.2344312536640603,151.2964384892963,648.8757177790238
-73.90974333,40.810515,2021-07-24 15:54:00,1.02175425,849.0,907.0,1005.0,1050.0,1269.0,1674.0,1814.0,1880.0,1899.0,1816.0,1394.0,37.28650262000002,0,26.96266002026043,47.106650050651076,3.2373399797395748,152.08179452968514,648.1049053690128
-73.90966667,40.810495,2021-07-24 15:54:00,1.019590535,1136.0,631.0,764.0,731.0,1212.0,2171.0,2502.0,1998.0,2600.0,2035.0,1417.0,37.99061474000001,0,26.977969917368913,47.14492479342228,3.222030082631094,147.94812231039538,652.1620281027602
-73.90959167,40.81047333,2021-07-24 15:54:00,1.019590535,1136.0,631.0,764.0,731.0,1212.0,2171.0,2502.0,1998.0,2600.0,2035.0,1417.0,37.99061474000001,0,26.977969917368938,47.14492479342235,3.2220300826310635,147.94812231038713,652.1620281027681
